experiment,program,n,threads,rep,time_seconds,primes_found
vary_n,task2,38000000,8,1,3.499583,2318966
vary_n,task3,38000000,8,1,3.820299,2318966
vary_n,task1,38000000,1,2,17.797203,2318966
vary_n,task2,38000000,8,2,3.586570,2318966
vary_n,task3,38000000,8,2,3.551148,2318966
vary_n,task1,38000000,1,3,17.630121,2318966
vary_n,task2,38000000,8,3,3.954621,2318966
vary_n,task3,38000000,8,3,3.543352,2318966
vary_n,task1,42000000,1,1,20.421039,2547620
vary_n,task2,42000000,8,1,4.142335,2547620
vary_n,task3,42000000,8,1,4.033367,2547620
vary_n,task1,42000000,1,2,20.449572,2547620
vary_n,task2,42000000,8,2,4.293213,2547620
vary_n,task3,42000000,8,2,4.163336,2547620
vary_n,task1,42000000,1,3,20.226356,2547620
vary_n,task2,42000000,8,3,4.219326,2547620
vary_n,task3,42000000,8,3,3.952341,2547620
vary_n,task1,46000000,1,1,23.381483,2775053
vary_n,task2,46000000,8,1,4.690198,2775053
vary_n,task3,46000000,8,1,4.690246,2775053
vary_n,task1,46000000,1,2,23.181526,2775053
vary_n,task2,46000000,8,2,4.879175,2775053
vary_n,task3,46000000,8,2,4.614254,2775053
vary_n,task1,46000000,1,3,23.273904,2775053
vary_n,task2,46000000,8,3,4.886134,2775053
vary_n,task3,46000000,8,3,4.649151,2775053
vary_n,task1,50000000,1,1,25.821070,3001134
vary_n,task2,50000000,8,1,5.408004,3001134
vary_n,task3,50000000,8,1,5.251127,3001134
vary_n,task1,50000000,1,2,26.129954,3001134
vary_n,task2,50000000,8,2,5.294527,3001134
vary_n,task3,50000000,8,2,5.405461,3001134
vary_n,task1,50000000,1,3,25.815838,3001134
vary_n,task2,50000000,8,3,5.524566,3001134
vary_n,task3,50000000,8,3,5.228298,3001134
vary_threads,task1,10000000,1,1,2.659317,664579
vary_threads,task1,10000000,1,2,2.690297,664579
vary_threads,task1,10000000,1,3,2.738400,664579
vary_threads,task2,10000000,1,1,2.820758,664579
vary_threads,task3,10000000,1,1,2.795966,664579
vary_threads,task2,10000000,1,2,2.896381,664579
vary_threads,task3,10000000,1,2,2.787292,664579
vary_threads,task2,10000000,1,3,2.745178,664579
vary_threads,task3,10000000,1,3,2.880958,664579
vary_threads,task2,10000000,2,1,1.610633,664579
vary_threads,task3,10000000,2,1,1.633640,664579
vary_threads,task2,10000000,2,2,1.705106,664579
vary_threads,task3,10000000,2,2,1.629311,664579
vary_threads,task2,10000000,2,3,1.661244,664579
vary_threads,task3,10000000,2,3,1.610497,664579
vary_threads,task2,10000000,3,1,1.765984,664579
vary_threads,task3,10000000,3,1,1.659121,664579
vary_threads,task2,10000000,3,2,1.528144,664579
vary_threads,task3,10000000,3,2,1.661163,664579
vary_threads,task2,10000000,3,3,1.602509,664579
vary_threads,task3,10000000,3,3,1.489547,664579
vary_threads,task2,10000000,4,1,0.871314,664579
vary_threads,task3,10000000,4,1,0.867022,664579
vary_threads,task2,10000000,4,2,0.860446,664579
vary_threads,task3,10000000,4,2,0.872756,664579
vary_threads,task2,10000000,4,3,0.879672,664579
vary_threads,task3,10000000,4,3,0.848880,664579
vary_threads,task2,10000000,5,1,1.008297,664579
vary_threads,task3,10000000,5,1,0.887656,664579
vary_threads,task2,10000000,5,2,0.947321,664579
vary_threads,task3,10000000,5,2,0.909412,664579
vary_threads,task2,10000000,5,3,0.877555,664579
vary_threads,task3,10000000,5,3,0.846765,664579
vary_threads,task2,10000000,6,1,0.938188,664579
vary_threads,task3,10000000,6,1,0.845223,664579
vary_threads,task2,10000000,6,2,0.896080,664579
vary_threads,task3,10000000,6,2,0.923337,664579
vary_threads,task2,10000000,6,3,0.914384,664579
vary_threads,task3,10000000,6,3,0.871889,664579
vary_threads,task2,10000000,7,1,0.701558,664579
vary_threads,task3,10000000,7,1,0.709242,664579
vary_threads,task2,10000000,7,2,0.684549,664579
vary_threads,task3,10000000,7,2,0.656723,664579
vary_threads,task2,10000000,7,3,0.693163,664579
vary_threads,task3,10000000,7,3,0.682157,664579
vary_threads,task2,10000000,8,1,0.563666,664579
vary_threads,task3,10000000,8,1,0.562096,664579
vary_threads,task2,10000000,8,2,0.614468,664579
vary_threads,task3,10000000,8,2,0.634365,664579
vary_threads,task2,10000000,8,3,0.577466,664579
vary_threads,task3,10000000,8,3,0.585560,664579
vary_threads,task2,10000000,10,1,0.635963,664579
vary_threads,task3,10000000,10,1,0.564103,664579
vary_threads,task2,10000000,10,2,0.568592,664579
vary_threads,task3,10000000,10,2,0.536886,664579
vary_threads,task2,10000000,10,3,0.549032,664579
vary_threads,task3,10000000,10,3,0.627714,664579
vary_threads,task2,10000000,12,1,0.598093,664579
vary_threads,task3,10000000,12,1,0.606811,664579
vary_threads,task2,10000000,12,2,0.622038,664579
