experiment,program,n,threads,rep,time_seconds,primes_found
vary_n,task2,100000,8,1,0.002879,9592
vary_n,task3,100000,8,1,0.008728,9592
vary_n,task1,100000,1,2,0.004184,9592
vary_n,task2,100000,8,2,0.003391,9592
vary_n,task3,100000,8,2,0.005705,9592
vary_n,task1,100000,1,3,0.004185,9592
vary_n,task2,100000,8,3,0.003054,9592
vary_n,task3,100000,8,3,0.007621,9592
vary_n,task1,150000,1,1,0.007384,13848
vary_n,task2,150000,8,1,0.003760,13848
vary_n,task3,150000,8,1,0.005999,13848
vary_n,task1,150000,1,2,0.007205,13848
vary_n,task2,150000,8,2,0.005079,13848
vary_n,task3,150000,8,2,0.004250,13848
vary_n,task1,150000,1,3,0.007364,13848
vary_n,task2,150000,8,3,0.004236,13848
vary_n,task3,150000,8,3,0.010023,13848
vary_n,task1,220000,1,1,0.013031,19618
vary_n,task2,220000,8,1,0.005556,19618
vary_n,task3,220000,8,1,0.005086,19618
vary_n,task1,220000,1,2,0.012450,19618
vary_n,task2,220000,8,2,0.005688,19618
vary_n,task3,220000,8,2,0.011306,19618
vary_n,task1,220000,1,3,0.012701,19618
vary_n,task2,220000,8,3,0.006190,19618
vary_n,task3,220000,8,3,0.005165,19618
vary_n,task1,330000,1,1,0.023015,28404
vary_n,task2,330000,8,1,0.008339,28404
vary_n,task3,330000,8,1,0.015566,28404
vary_n,task1,330000,1,2,0.023030,28404
vary_n,task2,330000,8,2,0.007824,28404
vary_n,task3,330000,8,2,0.017253,28404
vary_n,task1,330000,1,3,0.023397,28404
vary_n,task2,330000,8,3,0.010656,28404
vary_n,task3,330000,8,3,0.015728,28404
vary_n,task1,470000,1,1,0.035659,39223
vary_n,task2,470000,8,1,0.013545,39223
vary_n,task3,470000,8,1,0.017496,39223
vary_n,task1,470000,1,2,0.036037,39223
vary_n,task2,470000,8,2,0.012116,39223
vary_n,task3,470000,8,2,0.024934,39223
vary_n,task1,470000,1,3,0.035578,39223
vary_n,task2,470000,8,3,0.013736,39223
vary_n,task3,470000,8,3,0.023604,39223
vary_n,task1,680000,1,1,0.059104,55063
vary_n,task2,680000,8,1,0.023066,55063
vary_n,task3,680000,8,1,0.033248,55063
vary_n,task1,680000,1,2,0.061025,55063
vary_n,task2,680000,8,2,0.021140,55063
vary_n,task3,680000,8,2,0.024781,55063
vary_n,task1,680000,1,3,0.058739,55063
vary_n,task2,680000,8,3,0.020962,55063
vary_n,task3,680000,8,3,0.034725,55063
vary_n,task1,1000000,1,1,0.102057,78498
vary_n,task2,1000000,8,1,0.032866,78498
vary_n,task3,1000000,8,1,0.053473,78498
vary_n,task1,1000000,1,2,0.103758,78498
vary_n,task2,1000000,8,2,0.030810,78498
vary_n,task3,1000000,8,2,0.049801,78498
vary_n,task1,1000000,1,3,0.105701,78498
vary_n,task2,1000000,8,3,0.031477,78498
vary_n,task3,1000000,8,3,0.054046,78498
vary_n,task1,1500000,1,1,0.182664,114155
vary_n,task2,1500000,8,1,0.125242,114155
vary_n,task3,1500000,8,1,0.079212,114155
vary_n,task1,1500000,1,2,0.200790,114155
vary_n,task2,1500000,8,2,0.058415,114155
vary_n,task3,1500000,8,2,0.073051,114155
vary_n,task1,1500000,1,3,0.182454,114155
vary_n,task2,1500000,8,3,0.069657,114155
vary_n,task3,1500000,8,3,0.073736,114155
vary_n,task1,2200000,1,1,0.306666,162662
vary_n,task2,2200000,8,1,0.089311,162662
vary_n,task3,2200000,8,1,0.118671,162662
vary_n,task1,2200000,1,2,0.305037,162662
vary_n,task2,2200000,8,2,0.128133,162662
vary_n,task3,2200000,8,2,0.095044,162662
vary_n,task1,2200000,1,3,0.307556,162662
vary_n,task2,2200000,8,3,0.136902,162662
vary_n,task3,2200000,8,3,0.096349,162662
vary_n,task1,3300000,1,1,0.585461,236900
vary_n,task2,3300000,8,1,0.183991,236900
vary_n,task3,3300000,8,1,0.157114,236900
vary_n,task1,3300000,1,2,0.541004,236900
vary_n,task2,3300000,8,2,0.194927,236900
vary_n,task3,3300000,8,2,0.165537,236900
vary_n,task1,3300000,1,3,0.532536,236900
vary_n,task2,3300000,8,3,0.233933,236900
vary_n,task3,3300000,8,3,0.128537,236900
vary_n,task1,4700000,1,1,0.932847,328964
vary_n,task2,4700000,8,1,0.275611,328964
vary_n,task3,4700000,8,1,0.206412,328964
vary_n,task1,4700000,1,2,0.892949,328964
vary_n,task2,4700000,8,2,0.280521,328964
vary_n,task3,4700000,8,2,0.230440,328964
vary_n,task1,4700000,1,3,0.888478,328964
vary_n,task2,4700000,8,3,0.267557,328964
vary_n,task3,4700000,8,3,0.223993,328964
vary_n,task1,6800000,1,1,1.516767,463872
vary_n,task2,6800000,8,1,0.390016,463872
vary_n,task3,6800000,8,1,0.414111,463872
vary_n,task1,6800000,1,2,1.500701,463872
vary_n,task2,6800000,8,2,0.416857,463872
vary_n,task3,6800000,8,2,0.319999,463872
vary_n,task1,6800000,1,3,1.493146,463872
vary_n,task2,6800000,8,3,0.408335,463872
vary_n,task3,6800000,8,3,0.404947,463872
vary_n,task1,10000000,1,1,2.657606,664579
vary_n,task2,10000000,8,1,0.638968,664579
vary_n,task3,10000000,8,1,0.554627,664579
vary_n,task1,10000000,1,2,2.608849,664579
vary_n,task2,10000000,8,2,0.776743,664579
vary_n,task3,10000000,8,2,0.654357,664579
vary_n,task1,10000000,1,3,2.705064,664579
vary_n,task2,10000000,8,3,0.683978,664579
vary_n,task3,10000000,8,3,0.596677,664579
vary_n,task1,12000000,1,1,3.425777,788060
vary_n,task2,12000000,8,1,1.195236,788060
vary_n,task3,12000000,8,1,0.771156,788060
vary_n,task1,12000000,1,2,3.328311,788060
vary_n,task2,12000000,8,2,0.889760,788060
vary_n,task3,12000000,8,2,0.930536,788060
vary_n,task1,12000000,1,3,3.384544,788060
vary_n,task2,12000000,8,3,0.898096,788060
vary_n,task3,12000000,8,3,0.719044,788060
vary_n,task1,15000000,1,1,4.803756,970704
vary_n,task2,15000000,8,1,1.213707,970704
vary_n,task3,15000000,8,1,1.005700,970704
vary_n,task1,15000000,1,2,4.840791,970704
vary_n,task2,15000000,8,2,1.148127,970704
vary_n,task3,15000000,8,2,1.034621,970704
vary_n,task1,15000000,1,3,4.869438,970704
vary_n,task2,15000000,8,3,1.150856,970704
vary_n,task3,15000000,8,3,0.976387,970704
vary_n,task1,18000000,1,1,6.192768,1151367
vary_n,task2,18000000,8,1,1.567100,1151367
vary_n,task3,18000000,8,1,1.408578,1151367
vary_n,task1,18000000,1,2,6.006042,1151367
vary_n,task2,18000000,8,2,1.597005,1151367
vary_n,task3,18000000,8,2,1.303634,1151367
vary_n,task1,18000000,1,3,5.960386,1151367
vary_n,task2,18000000,8,3,1.543485,1151367
vary_n,task3,18000000,8,3,1.241898,1151367
vary_n,task1,22000000,1,1,7.985835,1389261
vary_n,task2,22000000,8,1,2.348447,1389261
vary_n,task3,22000000,8,1,2.123713,1389261
vary_n,task1,22000000,1,2,8.231597,1389261
vary_n,task2,22000000,8,2,2.055739,1389261
vary_n,task3,22000000,8,2,1.619762,1389261
vary_n,task1,22000000,1,3,8.046821,1389261
vary_n,task2,22000000,8,3,2.924492,1389261
vary_n,task3,22000000,8,3,1.616654,1389261
vary_n,task1,26000000,1,1,10.259963,1624527
vary_n,task2,26000000,8,1,2.683817,1624527
vary_n,task3,26000000,8,1,2.063399,1624527
vary_n,task1,26000000,1,2,10.166324,1624527
vary_n,task2,26000000,8,2,2.685022,1624527
vary_n,task3,26000000,8,2,2.130112,1624527
vary_n,task1,26000000,1,3,10.401864,1624527
vary_n,task2,26000000,8,3,2.757653,1624527
vary_n,task3,26000000,8,3,2.012051,1624527
vary_n,task1,30000000,1,1,12.632619,1857859
vary_n,task2,30000000,8,1,2.977273,1857859
vary_n,task3,30000000,8,1,2.668306,1857859
vary_n,task1,30000000,1,2,12.485923,1857859
vary_n,task2,30000000,8,2,3.086001,1857859
vary_n,task3,30000000,8,2,2.547954,1857859
vary_n,task1,30000000,1,3,12.394100,1857859
